time,duration,magnitude,ons type,V max,B max
1960-08-31 01:00,47,1.38,,,
1960-09-02 11:54,33,0.94,SSC,,
1960-09-04 02:30,8,1.45,SSC,,
1960-09-04 11:42,46,3.45,SSC,,
1960-09-06 22:00,49,1.13,,,
1960-09-10 08:00,36,1.08,,,
1960-09-13 02:00,43,1.02,,,
1960-09-16 01:00,56,1.52,,,
1960-09-19 01:00,40,1.16,,,
1960-09-21 08:12,27,0.95,SSC,,
1960-09-22 14:00,54,1.52,SSC,,
1960-09-26 00:00,37,1.36,,,
1960-09-27 21:00,31,1.2,,,
1960-09-29 08:36,74,2.42,SSC,,
1960-10-03 10:00,20,1.16,,,
1960-10-04 16:00,30,1.7,,,
1960-10-06 02:36,36,8.27,SSC,,
1960-10-08 17:00,36,0.95,,,
1960-10-10 22:00,36,1.1,,,
1960-10-13 07:00,13,0.89,,,
1960-10-13 21:48,37,1.63,SSC,,
1960-10-15 19:00,28,0.92,,,
1960-10-18 00:00,54,1.11,,,
1960-10-21 21:00,33,1.62,,,
1960-10-24 14:48,49,3.07,SSC,,
1960-10-28 01:00,61,1.22,,,
1960-11-02 06:00,34,1.32,,,
1960-11-03 22:00,36,1.09,,,
1960-11-07 09:00,55,0.86,,,
1960-11-10 07:18,39,2.94,SSC,,
1960-11-12 13:48,4,,SSC,,
1960-11-12 18:42,34,,SSC,,
1960-11-14 13:00,11,1.02,,,
1960-11-15 13:00,31,,SSC,,
1960-11-19 07:00,23,1.77,,,
1960-11-20 09:00,18,1.24,,,
1960-11-21 05:00,42,3.69,,,
1960-11-23 23:00,40,3.26,,,
1960-11-26 00:00,36,1.18,,,
1960-11-27 21:00,51,1.44,,,
1960-11-30 19:06,36,3,SSC,,
1960-12-02 22:00,46,1.09,,,
1960-12-05 19:00,35,1.73,,,
1960-12-07 18:00,37,2.63,SSC,,
1960-12-12 21:00,30,0.9,,,
1960-12-14 07:00,25,2.82,,,
1960-12-15 11:00,36,1.74,,,
1960-12-17 21:00,57,1.27,,,
1960-12-21 16:00,36,0.81,,,
1960-12-23 13:00,36,0.85,,,
1960-12-25 20:00,49,4.13,SSC,,
1960-12-28 10:00,29,1.27,,,
1960-12-30 03:00,66,1.29,,,
1961-01-04 08:00,65,1.2,,,
1961-01-07 20:48,18,0.62,SSC,,
1961-01-08 16:18,29,1.42,SSC,,
1961-01-10 01:00,55,1.1,,,
1961-01-13 02:00,41,1.11,,,
1961-01-15 05:00,27,0.79,,,
1961-01-16 12:00,32,1.15,,,
1961-01-18 01:00,24,1,,,
1961-01-19 05:00,36,1.41,,,
1961-01-21 05:00,44,1.49,,,
1961-01-26 03:00,36,0.9,,,
1961-01-28 13:00,40,1.19,,,
1961-01-31 01:00,58,1.28,,,
1961-02-03 09:06,25,1.96,SSC,,
1961-02-04 13:24,4,0.58,SSC,,
1961-02-04 18:24,27,2.7,SSC,,
1961-02-06 01:06,35,1.26,SSC,,
1961-02-07 20:00,42,1.18,,,
1961-02-10 15:00,36,0.96,,,
1961-02-13 02:48,38,1.42,SSC,,
1961-02-16 00:42,4,0.07,SSC,,
1961-02-16 05:30,28,1.7,SSC,,
1961-02-17 13:00,36,1.52,,,
1961-02-19 10:00,65,1.01,,,
1961-02-22 23:00,42,1.12,,,
1961-02-27 18:00,44,0.81,,,
1961-03-01 15:00,43,1.13,,,
1961-03-04 11:00,77,1.42,,,
1961-03-08 18:00,17,0.66,,,
1961-03-09 13:24,21,1.99,SSC,,
1961-03-10 13:00,36,0.94,,,
1961-03-13 02:00,46,1.24,,,
1961-03-16 02:00,31,0.94,,,
1961-03-17 16:00,55,1.8,,,
1961-03-20 14:00,54,1.21,,,
1961-03-27 15:00,9,1.62,SSC,,
1961-03-28 02:00,32,0.77,SSC,,
1961-03-29 19:00,36,1.21,,,
1961-03-31 15:12,32,1.28,SSC,,
1961-04-02 04:00,40,0.79,,,
1961-04-06 19:00,39,0.55,,,
1961-04-08 19:00,80,1.15,SSC,,
1961-04-13 14:48,41,5.07,SSC,,
1961-04-15 17:00,53,1.01,,,
1961-04-22 03:00,36,0.85,,,
1961-04-24 04:00,36,1.08,,,
1961-04-26 15:00,43,0.74,,,
